date,totalChallan,disposedChallan,pendingChallan,pendingAmount,disposedAmount,totalAmount,pendingCourt,disposedCourt,totalCourt
2015-01-01,120,29,91,588600,116860,705460,1,0,1
2015-01-02,162,39,123,663350,281425,944775,1,1,2
2015-01-03,122,34,88,596900,286950,883850,4,1,5
2015-01-04,116,27,89,967350,301600,1268950,3,2,5
2015-01-05,162,28,134,877654,103000,980654,2,0,2
2015-01-06,104,24,80,597100,149500,746600,2,1,3
2015-01-07,108,22,86,728650,144600,873250,3,1,4
2015-01-08,169,37,132,886802,156300,1043102,0,0,0
2015-01-09,137,30,107,852650,282200,1134850,7,0,7
2015-01-10,108,35,73,668450,183380,851830,6,0,6
