user_id,signup_date,plan_type,monthly_fee,avg_weekly_usage_hours,support_tickets,payment_failures,tenure_months,last_login_days_ago,churn
1,2024-05-10,Basic,199,12.7,4,1,21,83,No
2,2024-05-21,Basic,199,6.9,7,2,21,22,No
3,2024-08-13,Basic,199,7.1,5,4,18,89,Yes
4,2024-09-02,Basic,199,5.4,2,3,17,55,No
5,2024-04-20,Standard,399,7.0,3,3,22,60,Yes
6,2024-10-22,Premium,699,8.5,5,1,16,4,No
7,2022-06-11,Premium,699,13.5,7,3,44,62,Yes
8,2022-08-05,Premium,699,9.1,8,4,43,15,Yes
9,2023-10-10,Basic,199,15.2,0,2,28,5,No
10,2022-07-20,Premium,699,14.7,7,3,43,34,Yes
11,2023-11-15,Standard,399,14.2,0,2,27,47,No
12,2024-02-06,Standard,399,11.5,6,2,24,9,Yes
13,2024-05-13,Standard,399,2.9,3,4,21,23,Yes
14,2023-08-01,Premium,699,15.2,9,4,31,62,No
15,2022-07-09,Basic,199,8.7,8,3,44,77,Yes
16,2023-11-15,Standard,399,8.2,7,2,27,32,Yes
17,2023-07-18,Premium,699,14.1,2,0,31,56,No
18,2024-05-04,Standard,399,4.7,4,0,21,1,Yes
19,2022-09-04,Standard,399,15.7,0,4,42,70,Yes
20,2023-04-09,Standard,399,13.8,2,3,34,59,No
21,2023-05-04,Basic,199,5.4,1,0,34,11,Yes
22,2022-09-20,Premium,699,17.7,9,0,41,60,No
23,2024-10-11,Premium,699,3.8,2,3,16,24,No
24,2022-04-14,Premium,699,3.4,3,2,46,89,Yes
25,2022-12-04,Basic,199,0.5,8,3,39,33,Yes
26,2023-02-05,Basic,199,6.0,0,3,37,59,Yes
27,2023-07-17,Premium,699,11.4,1,4,31,30,No
28,2024-03-26,Basic,199,14.1,2,3,23,35,Yes
29,2024-12-05,Standard,399,8.9,8,4,14,24,Yes
30,2022-07-10,Premium,699,13.6,4,0,44,67,No
31,2023-07-24,Premium,699,13.2,6,1,31,27,No
32,2022-09-03,Premium,699,4.6,6,4,42,42,No
33,2024-06-21,Premium,699,17.2,0,3,20,87,Yes
34,2022-02-20,Standard,399,10.0,8,1,48,63,No
35,2023-11-13,Basic,199,7.6,4,0,27,8,Yes
36,2024-02-13,Standard,399,15.4,3,2,24,55,Yes
37,2023-10-19,Premium,699,3.5,9,1,28,62,Yes
38,2023-05-28,Basic,199,0.5,1,0,33,1,No
39,2024-02-29,Standard,399,4.1,5,0,24,29,Yes
40,2024-08-15,Basic,199,11.1,3,4,18,76,No
41,2022-12-23,Basic,199,18.2,4,3,38,34,Yes
42,2023-05-31,Standard,399,2.8,7,1,33,32,Yes
43,2024-08-14,Standard,399,13.4,2,0,18,33,Yes
44,2022-01-12,Basic,199,10.4,1,4,50,35,Yes
45,2024-10-18,Standard,399,7.1,3,1,16,75,No
46,2024-01-31,Premium,699,14.2,3,1,25,73,No
47,2024-09-04,Standard,399,12.5,6,4,17,12,Yes
48,2022-03-03,Basic,199,2.4,3,0,48,86,Yes
49,2023-03-21,Basic,199,11.6,3,2,35,16,No
50,2024-06-09,Basic,199,9.3,4,3,20,53,Yes
51,2024-07-23,Standard,399,11.6,1,3,19,9,Yes
